Ulasan_Bersih,Labeling
kejadi kali transaksi memakai qris pembayar tansaksi gagal saldo aaauto matis potong pribadi merasa rugi karna orang kaya hanya ojolampuun sekelas begini,Negatif
habis update malah gabisa qris gajelas,Negatif
lemot saat2 krusial aplikasi lemot tolong diperbaiki,Netral
sangat bagus,Positif
sangat puas,Positif
kemudah,Positif
transaksi qris gagal saldo terpotong jelas sekali,Negatif
layan masih tetap bagus terimakasih,Positif
tiba tiba terkunci,Netral
mobile terbaik pelayan ramah banget terbaik sukses selalu,Positif
perkara lampu bikin lama transaksi buru diajak cepet,Netral
kirim kode bngst,Negatif
monyet bener keluar2 mulu pembayar dikit2 error,Negatif
sanggat terbantu mobilbanking terimakasih atas kemudah sudah beri,Positif
mantab,Positif
good,Positif
bagus sekali,Positif
minta sulit sekali salaampulsa abis dapet2 haduh pulsa habis hanya minta otpbu sedia habis dapet2 dulu kayak begini udah lama guna mbca ganti hppas guna aduuh keluar susah banget sampe detik tulis riview dapat malas jdnya baik uninstal aplikasi cuma gara2 ganti device padahal data masih sama ribetribet,Negatif
kecewa deng aplikasi daftar harus vcgk,Netral
mantep,Positif
terbaik,Positif
sangat baik profesional fungsi kinerja aplikasi,Positif
tetap seperti aplikasi jang kaya bank bumn dikit2 update fitur macem2 karu ttep simpel,Positif
excellent,Positif
mantap sudah lancar,Positif
jelek bngt udah bikin rekening langsung gilir aktivasi mbca selalu gagal terus selalu kirim padahal punya pulsa ribet nyusahin kenapa pakai,Negatif
mobile diakses perangkat lain,Netral
login perangkat baru mohon bantu akses mbaking,Netral
susah login,Negatif
aplikasi jelas banyak masalah aktivasi ulang ribet banget nyusahin user doang,Negatif
aktivasi gagal terus,Negatif
sangat memuas,Positif
mantap,Positif
good like,Positif
terpercaya,Positif
mudah diguna,Positif
aset bagus,Positif
sangat simpel,Positif
sangat profesional,Positif
layan finansial elor terus ngirim uang susah ribet,Negatif
wajah kebaca,Netral
mudah diantara bank terbaik hanya transaksi mudah buat perdana serba mudah hayo,Positif
aman menyimp uang,Netral
semoga tidk kendala aplikasi,Netral
login mbanking saja sangatlah sulit banyak terjadi kesalah error,Negatif
lebih suka mobile dibanding mybca tetapi kekurang mbanking notifikasi otomatis uang masuk keluar seperti mybca,Netral
buat akun banking susah bener aplikasi eror beberapa tombol muncul,Negatif
lemot banget najis,Negatif
maju terus,Netral
semanggat bank,Netral
sangat membantu,Positif
bagus,Positif
sangat membantu,Positif
kenapa harus bulak balik regristasi pulsa sampe habis,Negatif
sistem sangat buruk pulsa habis aktivasi selalu gagal aplikasi bank jelek,Negatif
good,Positif
kacau aplikasi bayar qris gagal terus saldo tetep berkurang,Negatif
mantap banget,Positif
jang dipersulit masa gabisa pake wifi smntra sehari2 dirumah pake wifi permudah transaksi kmrin,Netral
mantap,Positif
alang baik kalau aplikasi mobile dikasih menu catat pemasu pengeluar data catat otomatis setiap transaksi keluar masuk,Netral
hari error melah terus indikator,Negatif
terima kasih banyak atas pelayan juga pengalam luar biasa diberi keluarga semoga sistem aplikasi dapat terus memberi terbaik pasti terus membangga,Netral
bagus saldo,Positif
money solution,Positif
bagus gampang semoga slalu bermanfaat bagi masyarakat indonesia lancar jaya terus mobile,Positif
terima kasih,Netral
belum update versi terbaru,Netral
kuras pulsa doang ujung2 login suruh taik,Negatif
alhamdulillah ngak kendala,Positif
selalu meminta kartun saat login,Netral
istimewa,Positif
semenjak update terus tambah lelet,Negatif
buruuuuk sering banget ganggu,Negatif
buruk sekali,Negatif
sangat membantu berkerjapon berbisnis,Positif
sempurna,Positif
payah nunggu lampu baru trnsaksi,Negatif
very user friendly simply reliable keep great work thanks,Positif
aplikasi ring benar mudah guna ribet,Positif
aplikasi emang bagus,Positif
aplikasi sangat membantu,Positif
aplikasi sangat membantu bertransaksi mobile banking tolong diperbaharui transaksi apabila keluh nasabah dipermudah dipercepat penanganan terimakasih,Netral
update terooos,Netral
makin kesini makin parah ganti login masa gabisa padah pulsa banyak makin aneh makin lama pake mbanking,Negatif
verifikasi wajah,Netral
qris bermasalah saat bayar sudah klik malah transaksi gagal sehari sudah coba berkali kali,Negatif
parah buat rekening susah pagi sampe sore ngangkat sama skli,Netral
bagus sekarang habis ganti login mobile kembali serumit dulu,Positif
sangat bagus,Positif
setelah update malah eror,Negatif
kode otppindah perangkat baru,Netral
keybord rada lemot mohon perbaiki,Netral
terjamin aman gampang transaksi,Positif
lelet,Negatif
enak,Positif
sejauh good bug2 sedikit maklumi,Netral
kurang baik,Negatif
sekarng aplikasi malah kurang nyam dipakai setiap login lama menunggu baru dibuka tolong perbaiki,Negatif
halo saldo mbanking tiba tiba hilang babi,Negatif
vidcal lama,Netral
update kenapa malah lemot aplikasi,Negatif
luar biasa,Positif
setelah update malah error transaksi,Negatif
lemot amat ngirim kode,Negatif
saldo mengilang,Negatif
tarik tunai tanpa kartu sangat berguna sekali kedepan semoga membuat tarik tunai tanpa saldo sukses buat,Positif
tibatiba ngga dibuka,Netral
berulangkali mencoba login padahal mengguna paket data sendiri mohonlah bapakibu sekali diperbaiki mencoba sudah lebih ratus mungkin ribu percoba login selalu harus menghabis sisa umur hanya mencoba login mobile sampai seperti sampai pilpres 2029,Negatif
merugi pengguna transaksi gagal terpotong saldonyadalam pengembali saldo hilang sangat merugi sampai hari kerjamemang parah bank beda bank lain kendala seperti bank lain sangat sangat merugikanmengganggu pengguna transaksi memang terburuk,Negatif
transaksi qris status gagal saldo kepotonggajelas emangseharus kalo ganggu pemberitahu biar konsumen tausistem sangat buruk,Negatif
mbankingh gini kirim kode kalo niat buat aplikasi usah belagu amat,Negatif
kenapa skrg lemot sekali loading seperti kepenuh memory padahal besar,Negatif
sekarang mbca lemot lelet ditambah lampu kuning susah hilang hilang padahal sudah mendukung sinyal bagus,Negatif
semakin lama semakin melambat kirain melambat ternyata aplikasi melambat mulai kurang nyam deng aplikasi bcamobile,Negatif
sangat membantu,Positif
tingkat pelayan,Netral
kacau mbanking lemot kalau transaksi pakai samsung pembayar qris,Negatif
jelek,Negatif
verifikasi muka,Netral
sangat mantap bagus sekali,Positif
sangat luar biasa amanah ingin ucap terima kasih abgda erik teller baru atas kejujur sukses erik,Positif
parah tiba logout tolong curi data masyarakat cara bugh suru login ulang,Negatif
kenapa tiba2 koneksi internet terputus login gabisa pengatur aman mohon penjelasan,Negatif
kenapa mobile dibuka tibatiba notifikasi sinyal terputus padahal sinyal internet aman,Negatif
gimana sinyal lancar semua berjal lancar cuma merah terus transaksi,Negatif
bayar restor mala error bilang internet padahal internet lancar aplikasi sampah,Negatif
bagus buat transaksi,Positif
update baru parahjadi sulit akses padahal sebelum lancarkembali seperti sebelum,Negatif
aplikasi tolol pulsa sampe abis ngirim ngirim,Negatif
error transfer uang gagal dana terpotong tolong dikembali,Negatif
aplikasi jelas sering ganggu bank besar oprasional payah,Negatif
mantap,Positif
aplikasi sangat baik pernah trouble,Positif
daftar mbanking proses video lama banget,Negatif
kemarin sampei hari nyambung video deng customer service buka rekening baru kaya tahun sebelum cepet,Netral
diguna susah ribet juga masih beberapa error saat transaksi antar rekening asli pengguna bank merasa aplikasi mbanking bank buruk memberi pengalam kurang mengena fitur2 kurang efisien seperti wallet ternyata fitur transfer antar bank semoga depan lebih baik pengemang aplikasi,Negatif
login stuck kirim verifikasi udah bolak balik coba pindah sinyal tetep,Negatif
verifikasi gagal mulu,Negatif
mbaking error hari,Negatif
sangat baik,Positif
aplikasi baik mudah sampai hari baru kendala terjadi saat masuk pilih menu tanda merah pojok atas berubah diulang tetap berubah sampai muncul tulis koneksi internet terjadi juga tmn2 pengguna lain,Negatif
bagusga pernah ganggu,Positif
setelah update banyak masalah,Negatif
membantu banget,Positif
jelek pelayanan minta bantu gimana cara buat mbuka akun keblokir malah dijawab nyeleb,Negatif
sangat terganggu deng pembayar qris kenapa selalu saja gagal saldo terpotong mending saldo kembali sang cepat saldo sampe saat belum kembali sudah hari,Negatif
hapus lampu indikator biru emang kendara lampu merah nunggu hijau baru lain nggak pake lampu indikator,Netral
memudah pembayar,Positif
good,Positif
makasihsdh lancar,Positif
payah transaksi gagal kali bayar guna balik seketika saldo,Negatif
lama lama makin gajelas sering eror payment pake tiba tiba eror saldo malah ilang ntah kemana balik kecewa sama sekarang,Negatif
gila kali setiap duit qris gagal duit kepotong sering banget gini dicek mutasi kepotong duit sempak,Negatif
admin tolong bantuan paket internet status gagal saldo rekening potong,Netral
kenapa bayar pake qrispembayar gagal saldo berkurang,Negatif
terlalu sering ganggu,Negatif
sering bayar qris gagal saldo kepotong aplikasi juga lemot sekali,Negatif
transaksi gagal saldo malah hilang kocak,Negatif
belakang kalau transaksi pake bangking sering eror transaksi gagal saldo hilang balik suruh ngurus buang2 waktu,Negatif
sangat membantu aplikasi bagus,Positif
makasih sudah tanggapi keluh,Positif
aplikasi malah error sudah diperbaiki terimakasih kasih bintang cepet tanggap,Positif
terima kasih sudah merespon tadi mobile sudah berjal baik seperti semula,Positif
cepat,Positif
sangat puas mobile,Positif
gaje,Negatif
terimakasih respon penangan cepat respon tanggal,Positif
sangat bagus puas,Positif
luar biasa,Positif
mudah cepat,Positif
sangat mambatu masalah transaksi,Positif
berjal deng sempurna semua transaksi lebih mudah praktis makasih,Positif
pengajuan cepat permohon,Positif
banyak membantu,Positif
sangat bangus memudah transaksi,Positif
bantu pembayar digital,Positif
baik,Positif
mudah diguna,Positif

